CustomerID,CustomerFirstName,CustomerLastName,CustomerLocation,CustomerAge,YearsOfExperience
1000001,Kenyon,Coleman,UCLA,27,11
1000002,Tony,Romo,Eastern Illinois,32,3
1000003,Derrick,Dockery,Texas,32,5
1000004,Jay,Ratliff,Auburn,29,1
1000005,L.P.,Ladouceur,California,31,10
1000006,Nate,Livings,LSU,30,5
1000007,Jason,Witten,Tennessee,30,10
1000008,DeMarcus,Ware,Troy,21,8
1000009,Jason,Hatcher,Grambling State,33,7
1000010,Kyle,Orton,Purdue,29,5
1000011,Gerald,Sensabaugh,North Carolina,26,5
1000012,Lawrence,Vickers,Colorado,21,7
1000013,Ryan,Cook,New Mexico,30,0
1000014,Marcus,Spears,LSU,29,8
1000015,Miles,Austin,Monmouth (N.J.),28,2
1000016,Doug,Free,Northern Illinois,28,1
1000017,Anthony,Spencer,Purdue,21,6
1000018,Mike,Jenkins,South Florida,27,15
1000019,Brandon,Carr,Grand Valley State,25,5
1000020,Sean,Lee,Penn State,26,13
1000021,Dan,Connor,Penn State,32,9
1000022,Mackenzy,Bernadeau,Bentley,30,5
1000023,Jermey,Parnell,Mississippi,29,3
1000024,Dwayne,Harris,East Carolina,25,2
1000025,Felix,Jones,Arkansas,25,5
1000026,Orlando,Scandrick,Boise State,28,5
1000027,Victor,Butler,Oregon State,32,4
1000028,Phil,Costa,Maryland,25,0
1000029,Kevin,Ogletree,Virginia,29,9
1000030,John,Phillips,Virginia,20,4
1000031,Sean,Lissemore,William & Mary,20,3
1000032,Dan,Bailey,Oklahoma State,24,2
1000033,Andre,Holmes,Hillsdale,28,1
1000034,DeMarco,Murray,Oklahoma,33,5
1000035,Phillip,Tanner,Middle Tennessee State,30,8
1000036,Mana,Silva,Hawaii,24,11
1000037,Danny,McCray,LSU,21,3
1000038,Barry,Church,Toledo,27,3
1000039,Bruce,Carter,North Carolina,24,12
1000040,Alex,Albright,Boston College,31,2
1000041,David,Arkin,Missouri State,34,1
1000042,Josh,Brent,Illinois,34,3
1000043,Chris,Jones,Carson-Newman,23,1
1000044,Cole,Beasley,Southern Methodist,22,0
1000045,LeQuan,Lewis,,23,1
1000046,Mario,Butler,Georgia Tech,33,1
1000047,Matt,Johnson,Eastern Washington,31,10
1000048,Kyle,Wilber,Wake Forest,23,5
1000049,James,Hanna,Oklahoma,30,0
1000050,Dez,Bryant,Oklahoma State,23,3
1000000,David,Doe4,Oregon,26,6
